Demand,Time,Date,,,,,,,,,
27007,00:00:00,01/01/2020,,,,,,,,,
27044,00:05:00,01/01/2020,,,,,,,,,
27095,00:10:00,01/01/2020,,,,,,,,,
27100,00:15:00,01/01/2020,,,,,,,,,
27160,00:20:00,01/01/2020,,,,,,,,,
27188,00:25:00,01/01/2020,,,,,,,,,
27202,00:30:00,01/01/2020,,,,,,,,,
27519,00:35:00,01/01/2020,,,,,,,,,
27657,00:40:00,01/01/2020,,,,,,,,,
27709,00:45:00,01/01/2020,,,,,,,,,
27713,00:50:00,01/01/2020,,,,,,,,,
27675,00:55:00,01/01/2020,,,,,,,,,
27646,01:00:00,01/01/2020,,,,,,,,,
27574,01:05:00,01/01/2020,,,,,,,,,
27428,01:10:00,01/01/2020,,,,,,,,,
27279,01:15:00,01/01/2020,,,,,,,,,
27073,01:20:00,01/01/2020,,,,,,,,,
26852,01:25:00,01/01/2020,,,,,,,,,
26739,01:30:00,01/01/2020,,,,,,,,,
26652,01:35:00,01/01/2020,,,,,,,,,
26578,01:40:00,01/01/2020,,,,,,,,,
26403,01:45:00,01/01/2020,,,,,,,,,
26247,01:50:00,01/01/2020,,,,,,,,,
26166,01:55:00,01/01/2020,,,,,,,,,
26093,02:00:00,01/01/2020,,,,,,,,,
25928,02:05:00,01/01/2020,,,,,,,,,
25864,02:10:00,01/01/2020,,,,,,,,,
25677,02:15:00,01/01/2020,,,,,,,,,
25728,02:20:00,01/01/2020,,,,,,,,,
25652,02:25:00,01/01/2020,,,,,,,,,
25543,02:30:00,01/01/2020,,,,,,,,,
25660,02:35:00,01/01/2020,,,,,,,,,
25643,02:40:00,01/01/2020,,,,,,,,,
25574,02:45:00,01/01/2020,,,,,,,,,
25391,02:50:00,01/01/2020,,,,,,,,,
25377,02:55:00,01/01/2020,,,,,,,,,
25390,03:00:00,01/01/2020,,,,,,,,,
25361,03:05:00,01/01/2020,,,,,,,,,
25341,03:10:00,01/01/2020,,,,,,,,,
25227,03:15:00,01/01/2020,,,,,,,,,
25088,03:20:00,01/01/2020,,,,,,,,,
24998,03:25:00,01/01/2020,,,,,,,,,
24879,03:30:00,01/01/2020,,,,,,,,,
24772,03:35:00,01/01/2020,,,,,,,,,
24724,03:40:00,01/01/2020,,,,,,,,,
24615,03:45:00,01/01/2020,,,,,,,,,
24435,03:50:00,01/01/2020,,,,,,,,,
24409,03:55:00,01/01/2020,,,,,,,,,
24187,04:00:00,01/01/2020,,,,,,,,,
23848,04:05:00,01/01/2020,,,,,,,,,
23741,04:10:00,01/01/2020,,,,,,,,,
23848,04:15:00,01/01/2020,,,,,,,,,
23801,04:20:00,01/01/2020,,,,,,,,,
23782,04:25:00,01/01/2020,,,,,,,,,
23769,04:30:00,01/01/2020,,,,,,,,,
23893,04:35:00,01/01/2020,,,,,,,,,
23911,04:40:00,01/01/2020,,,,,,,,,
23828,04:45:00,01/01/2020,,,,,,,,,
23851,04:50:00,01/01/2020,,,,,,,,,
23843,04:55:00,01/01/2020,,,,,,,,,
23814,05:00:00,01/01/2020,,,,,,,,,
23891,05:05:00,01/01/2020,,,,,,,,,
23908,05:10:00,01/01/2020,,,,,,,,,
23851,05:15:00,01/01/2020,,,,,,,,,
23788,05:20:00,01/01/2020,,,,,,,,,
23788,05:25:00,01/01/2020,,,,,,,,,
23765,05:30:00,01/01/2020,,,,,,,,,
23861,05:35:00,01/01/2020,,,,,,,,,
23931,05:40:00,01/01/2020,,,,,,,,,
23950,05:45:00,01/01/2020,,,,,,,,,
23998,05:50:00,01/01/2020,,,,,,,,,
24036,05:55:00,01/01/2020,,,,,,,,,
24151,06:00:00,01/01/2020,,,,,,,,,
24602,06:05:00,01/01/2020,,,,,,,,,
24729,06:10:00,01/01/2020,,,,,,,,,
24794,06:15:00,01/01/2020,,,,,,,,,
24826,06:20:00,01/01/2020,,,,,,,,,
24859,06:25:00,01/01/2020,,,,,,,,,
24878,06:30:00,01/01/2020,,,,,,,,,
24879,06:35:00,01/01/2020,,,,,,,,,
25033,06:40:00,01/01/2020,,,,,,,,,
25164,06:45:00,01/01/2020,,,,,,,,,
25008,06:50:00,01/01/2020,,,,,,,,,
24943,06:55:00,01/01/2020,,,,,,,,,
24938,07:00:00,01/01/2020,,,,,,,,,
25111,07:05:00,01/01/2020,,,,,,,,,
25149,07:10:00,01/01/2020,,,,,,,,,
25127,07:15:00,01/01/2020,,,,,,,,,
25123,07:20:00,01/01/2020,,,,,,,,,
25169,07:25:00,01/01/2020,,,,,,,,,
25234,07:30:00,01/01/2020,,,,,,,,,
25226,07:35:00,01/01/2020,,,,,,,,,
25237,07:40:00,01/01/2020,,,,,,,,,
25264,07:45:00,01/01/2020,,,,,,,,,
25286,07:50:00,01/01/2020,,,,,,,,,
25273,07:55:00,01/01/2020,,,,,,,,,
25315,08:00:00,01/01/2020,,,,,,,,,
25482,08:05:00,01/01/2020,,,,,,,,,
25584,08:10:00,01/01/2020,,,,,,,,,
25542,08:15:00,01/01/2020,,,,,,,,,
25617,08:20:00,01/01/2020,,,,,,,,,
25677,08:25:00,01/01/2020,,,,,,,,,
25713,08:30:00,01/01/2020,,,,,,,,,
25847,08:35:00,01/01/2020,,,,,,,,,
26007,08:40:00,01/01/2020,,,,,,,,,
26165,08:45:00,01/01/2020,,,,,,,,,
26318,08:50:00,01/01/2020,,,,,,,,,
26464,08:55:00,01/01/2020,,,,,,,,,
26598,09:00:00,01/01/2020,,,,,,,,,
26887,09:05:00,01/01/2020,,,,,,,,,
27179,09:10:00,01/01/2020,,,,,,,,,
27452,09:15:00,01/01/2020,,,,,,,,,
27654,09:20:00,01/01/2020,,,,,,,,,
27831,09:25:00,01/01/2020,,,,,,,,,
28056,09:30:00,01/01/2020,,,,,,,,,
28290,09:35:00,01/01/2020,,,,,,,,,
