Demand,Time,Date
27007,00:00:00,01/01/2020
27202,00:30:00,01/01/2020
27646,01:00:00,01/01/2020
26739,01:30:00,01/01/2020
26093,02:00:00,01/01/2020
25543,02:30:00,01/01/2020
25390,03:00:00,01/01/2020
24879,03:30:00,01/01/2020
24187,04:00:00,01/01/2020
23769,04:30:00,01/01/2020
23814,05:00:00,01/01/2020
23765,05:30:00,01/01/2020
24151,06:00:00,01/01/2020
24878,06:30:00,01/01/2020
24938,07:00:00,01/01/2020
25234,07:30:00,01/01/2020
25315,08:00:00,01/01/2020
25713,08:30:00,01/01/2020
26598,09:00:00,01/01/2020
28056,09:30:00,01/01/2020
29055,10:00:00,01/01/2020
30197,10:30:00,01/01/2020
30520,11:00:00,01/01/2020
31625,11:30:00,01/01/2020
32400,12:00:00,01/01/2020
33128,12:30:00,01/01/2020
33317,13:00:00,01/01/2020
33555,14:00:00,01/01/2020
34151,15:00:00,01/01/2020
34686,15:30:00,01/01/2020
35641,16:00:00,01/01/2020
36642,16:30:00,01/01/2020
37674,17:00:00,01/01/2020
37909,17:30:00,01/01/2020
37216,18:00:00,01/01/2020
36180,18:30:00,01/01/2020
35673,19:00:00,01/01/2020
34684,19:30:00,01/01/2020
33671,20:00:00,01/01/2020
32732,20:30:00,01/01/2020
31594,21:00:00,01/01/2020
30317,21:30:00,01/01/2020
28860,22:00:00,01/01/2020
27587,22:30:00,01/01/2020
26322,23:00:00,01/01/2020
24386,23:30:00,01/01/2020
23422,00:00:00,02/01/2020
23775,00:30:00,02/01/2020
24161,01:00:00,02/01/2020
23572,01:30:00,02/01/2020
23527,02:00:00,02/01/2020
23905,02:30:00,02/01/2020
23878,03:00:00,02/01/2020
23789,03:30:00,02/01/2020
24136,04:00:00,02/01/2020
24291,04:30:00,02/01/2020
24705,05:00:00,02/01/2020
24671,05:30:00,02/01/2020
25539,06:00:00,02/01/2020
27726,06:30:00,02/01/2020
29687,07:00:00,02/01/2020
31693,07:30:00,02/01/2020
33079,08:00:00,02/01/2020
33734,08:30:00,02/01/2020
35019,09:00:00,02/01/2020
35129,09:30:00,02/01/2020
35553,10:00:00,02/01/2020
35856,10:30:00,02/01/2020
35945,11:00:00,02/01/2020
36404,11:30:00,02/01/2020
36656,12:00:00,02/01/2020
37041,12:30:00,02/01/2020
37063,13:00:00,02/01/2020
36651,14:00:00,02/01/2020
37466,15:00:00,02/01/2020
38098,15:30:00,02/01/2020
38641,16:00:00,02/01/2020
40054,16:30:00,02/01/2020
40865,17:00:00,02/01/2020
41319,17:30:00,02/01/2020
40969,18:00:00,02/01/2020
39994,18:30:00,02/01/2020
39252,19:00:00,02/01/2020
37999,19:30:00,02/01/2020
37038,20:00:00,02/01/2020
35176,20:30:00,02/01/2020
33583,21:00:00,02/01/2020
31623,21:30:00,02/01/2020
29775,22:00:00,02/01/2020
28836,22:30:00,02/01/2020
27439,23:00:00,02/01/2020
26391,23:30:00,02/01/2020
25406,00:00:00,03/01/2020
25613,00:30:00,03/01/2020
26308,01:00:00,03/01/2020
26233,01:30:00,03/01/2020
25881,02:00:00,03/01/2020
25553,02:30:00,03/01/2020
25363,03:00:00,03/01/2020
25265,03:30:00,03/01/2020
24729,04:00:00,03/01/2020
24141,04:30:00,03/01/2020
23872,05:00:00,03/01/2020
24114,05:30:00,03/01/2020
25059,06:00:00,03/01/2020
27620,06:30:00,03/01/2020
29159,07:00:00,03/01/2020
31946,07:30:00,03/01/2020
33706,08:00:00,03/01/2020
34908,08:30:00,03/01/2020
36414,09:00:00,03/01/2020
37481,09:30:00,03/01/2020
37445,10:00:00,03/01/2020
37360,10:30:00,03/01/2020
36953,11:00:00,03/01/2020
36813,11:30:00,03/01/2020
36990,12:00:00,03/01/2020
36817,12:30:00,03/01/2020
36356,13:00:00,03/01/2020
36021,14:00:00,03/01/2020
36883,15:00:00,03/01/2020
37437,15:30:00,03/01/2020
38653,16:00:00,03/01/2020
40527,16:30:00,03/01/2020
42453,17:00:00,03/01/2020
42877,17:30:00,03/01/2020
42298,18:00:00,03/01/2020
41716,18:30:00,03/01/2020
40968,19:00:00,03/01/2020
39846,19:30:00,03/01/2020
38250,20:00:00,03/01/2020
36423,20:30:00,03/01/2020
35060,21:00:00,03/01/2020
33289,21:30:00,03/01/2020
31418,22:00:00,03/01/2020
29836,22:30:00,03/01/2020
28302,23:00:00,03/01/2020
27822,23:30:00,03/01/2020
27091,00:00:00,04/01/2020
27107,00:30:00,04/01/2020
27368,01:00:00,04/01/2020
26774,01:30:00,04/01/2020
26083,02:00:00,04/01/2020
25860,02:30:00,04/01/2020
25820,03:00:00,04/01/2020
25751,03:30:00,04/01/2020
25549,04:00:00,04/01/2020
25456,04:30:00,04/01/2020
25276,05:00:00,04/01/2020
25150,05:30:00,04/01/2020
25205,06:00:00,04/01/2020
26247,06:30:00,04/01/2020
26489,07:00:00,04/01/2020
27029,07:30:00,04/01/2020
28231,08:00:00,04/01/2020
29425,08:30:00,04/01/2020
30669,09:00:00,04/01/2020
32031,09:30:00,04/01/2020
32681,10:00:00,04/01/2020
33394,10:30:00,04/01/2020
33545,11:00:00,04/01/2020
33663,11:30:00,04/01/2020
33598,12:00:00,04/01/2020
33436,12:30:00,04/01/2020
33344,13:00:00,04/01/2020
33075,14:00:00,04/01/2020
33702,15:00:00,04/01/2020
34572,15:30:00,04/01/2020
35520,16:00:00,04/01/2020
37559,16:30:00,04/01/2020
38928,17:00:00,04/01/2020
39275,17:30:00,04/01/2020
39265,18:00:00,04/01/2020
38682,18:30:00,04/01/2020
37850,19:00:00,04/01/2020
37225,19:30:00,04/01/2020
36016,20:00:00,04/01/2020
34819,20:30:00,04/01/2020
33700,21:00:00,04/01/2020
32309,21:30:00,04/01/2020
30812,22:00:00,04/01/2020
29132,22:30:00,04/01/2020
27679,23:00:00,04/01/2020
26371,23:30:00,04/01/2020
25673,00:00:00,05/01/2020
25559,00:30:00,05/01/2020
