Date,Demand,Temp,DewPoint,Humidity,Precipitation,WindDirection,WindSpeed,WindGust,Pressure,Mobility,Day_of_week,Hour_of_day,is_weekend,is_rush_hour,is_working_hour,clap_for_carers,Demand_pred,Error
2020-01-02 00:00:00,23422,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,0,0,0.0,0.0,0.0,25090.32,7.122877262829819
2020-01-02 01:00:00,24161,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,1,0,0.0,0.0,0.0,25856.764,7.018598865423617
2020-01-02 02:00:00,23527,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,2,0,0.0,0.0,0.0,27774.299,18.052870438751224
2020-01-02 03:00:00,23878,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,3,0,0.0,0.0,0.0,28482.836,19.284847715470306
2020-01-02 04:00:00,24136,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,4,0,0.0,0.0,0.0,29086.072,20.50908296994117
2020-01-02 05:00:00,24705,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,5,0,0.0,0.0,0.0,29534.938,19.550445253997168
2020-01-02 06:00:00,25539,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,6,0,0.0,0.0,0.0,29847.37,16.86976444114883
2020-01-02 07:00:00,29687,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,7,0,1.0,0.0,0.0,30047.232,1.213434910482703
2020-01-02 08:00:00,33079,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,8,0,1.0,0.0,0.0,33949.086,2.6303272091054746
2020-01-02 09:00:00,35019,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,9,0,1.0,1.0,0.0,35144.617,0.35871152088866043
2020-01-02 10:00:00,35553,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,10,0,1.0,1.0,0.0,36415.332,2.4254831694934325
2020-01-02 11:00:00,35945,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,11,0,0.0,1.0,0.0,37985.066,5.675522064960356
2020-01-02 12:00:00,36656,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,12,0,0.0,1.0,0.0,35835.91,2.237259503901135
2020-01-02 13:00:00,37063,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,13,0,0.0,1.0,0.0,36015.777,2.825520482017106
2020-01-02 14:00:00,36651,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,14,0,0.0,1.0,0.0,36421.992,0.6248337357780143
2020-01-02 15:00:00,37466,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,15,0,0.0,1.0,0.0,36788.223,1.8090464521165857
2020-01-02 16:00:00,38641,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,16,0,1.0,1.0,0.0,37132.984,3.902630948992003
2020-01-02 17:00:00,40865,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,17,0,1.0,1.0,0.0,40839.945,0.06131087116114034
2020-01-02 18:00:00,40969,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,18,0,1.0,0.0,0.0,41629.57,1.6123662098171787
2020-01-02 19:00:00,39252,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,19,0,1.0,0.0,0.0,41227.87,5.033809981020075
2020-01-02 20:00:00,37038,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,20,0,0.0,0.0,0.0,39484.445,6.605230607754198
2020-01-02 21:00:00,33583,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,21,0,0.0,0.0,0.0,33493.918,0.2652593015811571
2020-01-02 22:00:00,29775,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,22,0,0.0,0.0,0.0,30238.666,1.5572326301427373
2020-01-02 23:00:00,27439,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,23,0,0.0,0.0,0.0,27561.822,0.4476193214949524
2020-01-03 00:00:00,25406,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,0,0,0.0,0.0,0.0,25324.885,0.31927589693379516
2020-01-03 01:00:00,26308,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,1,0,0.0,0.0,0.0,26158.836,0.5669912669150069
2020-01-03 02:00:00,25881,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,2,0,0.0,0.0,0.0,28098.58,8.568370921235656
2020-01-03 03:00:00,25363,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,3,0,0.0,0.0,0.0,29360.209,15.760000726944762
2020-01-03 04:00:00,24729,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,4,0,0.0,0.0,0.0,29891.49,20.876259591471552
2020-01-03 05:00:00,23872,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,5,0,0.0,0.0,0.0,30240.902,26.67938314238438
2020-01-03 06:00:00,25059,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,6,0,0.0,0.0,0.0,30405.004,21.33366816812323
2020-01-03 07:00:00,29159,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,7,0,1.0,0.0,0.0,30523.521,4.6795894385095504
2020-01-03 08:00:00,33706,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,8,0,1.0,0.0,0.0,34120.625,1.2301222334302497
2020-01-03 09:00:00,36414,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,9,0,1.0,1.0,0.0,35346.895,2.930481322430933
2020-01-03 10:00:00,37445,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,10,0,1.0,1.0,0.0,36614.81,2.2170954900520767
2020-01-03 11:00:00,36953,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,11,0,0.0,1.0,0.0,38233.434,3.4650328626904447
2020-01-03 12:00:00,36990,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,12,0,0.0,1.0,0.0,36031.57,2.5910507907542577
2020-01-03 13:00:00,36356,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,13,0,0.0,1.0,0.0,36143.074,0.5856688889041698
2020-01-03 14:00:00,36021,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,14,0,0.0,1.0,0.0,36394.26,1.0362336380167125
2020-01-03 15:00:00,36883,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,15,0,0.0,1.0,0.0,36661.527,0.6004735413334056
2020-01-03 16:00:00,38653,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,16,0,1.0,1.0,0.0,36937.33,4.438651268983003
2020-01-03 17:00:00,42453,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,17,0,1.0,1.0,0.0,40652.305,4.241620880738699
2020-01-03 18:00:00,42298,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,18,0,1.0,0.0,0.0,41564.773,1.7334780899806137
2020-01-03 19:00:00,40968,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,19,0,1.0,0.0,0.0,41278.824,0.7587000067125561
2020-01-03 20:00:00,38250,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,20,0,0.0,0.0,0.0,39429.805,3.084456699346405
2020-01-03 21:00:00,35060,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,21,0,0.0,0.0,0.0,33412.332,4.699566368368511
2020-01-03 22:00:00,31418,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,22,0,0.0,0.0,0.0,30298.502,3.5632377836749636
2020-01-03 23:00:00,28302,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,23,0,0.0,0.0,0.0,27912.041,1.3778495667267332
2020-01-04 00:00:00,27091,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,0,1,0.0,0.0,0.0,25912.1,4.351631134417334
2020-01-04 01:00:00,27368,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,1,1,0.0,0.0,0.0,26060.78,4.776456822292459
2020-01-04 02:00:00,26083,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,2,1,0.0,0.0,0.0,27310.027,4.70431830598474
2020-01-04 03:00:00,25820,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,3,1,0.0,0.0,0.0,27363.047,5.976169151820295
2020-01-04 04:00:00,25549,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,4,1,0.0,0.0,0.0,27233.549,6.593404157207719
2020-01-04 05:00:00,25276,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,5,1,0.0,0.0,0.0,27054.129,7.034850871379965
2020-01-04 06:00:00,25205,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,6,1,0.0,0.0,0.0,26822.244,6.4163623908946645
2020-01-04 07:00:00,26489,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,7,1,1.0,0.0,0.0,26552.582,0.24003182924987732
2020-01-04 08:00:00,28231,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,8,1,1.0,0.0,0.0,29834.502,5.679933240498034
2020-01-04 09:00:00,30669,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,9,1,1.0,1.0,0.0,30615.492,0.1744687224885063
2020-01-04 10:00:00,32681,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,10,1,1.0,1.0,0.0,31632.893,3.2070849174596865
2020-01-04 11:00:00,33545,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,11,1,0.0,1.0,0.0,33069.305,1.418081122372932
2020-01-04 12:00:00,33598,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,12,1,0.0,1.0,0.0,31196.887,7.146595872522174
2020-01-04 13:00:00,33344,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,13,1,0.0,1.0,0.0,31248.33,6.284998566083853
2020-01-04 14:00:00,33075,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,14,1,0.0,1.0,0.0,31472.963,4.843649612622826
2020-01-04 15:00:00,33702,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,15,1,0.0,1.0,0.0,31718.848,5.884375834520206
2020-01-04 16:00:00,35520,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,16,1,1.0,1.0,0.0,31965.26,10.00771462380349
2020-01-04 17:00:00,38928,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,17,1,1.0,1.0,0.0,35319.098,9.27071091181155
2020-01-04 18:00:00,39265,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,18,1,1.0,0.0,0.0,36373.855,7.36315938176493
2020-01-04 19:00:00,37850,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,19,1,1.0,0.0,0.0,36307.19,4.076112533025099
2020-01-04 20:00:00,36016,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,20,1,0.0,0.0,0.0,35024.508,2.7529214446357173
2020-01-04 21:00:00,33700,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,21,1,0.0,0.0,0.0,30755.55,8.737238037833828
2020-01-04 22:00:00,30812,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,22,1,0.0,0.0,0.0,28216.0,8.425288848500584
2020-01-04 23:00:00,27679,4.3,3.4,94.0,0.0,101.0,9.0,17.0,0.0,1.01,5,23,1,0.0,0.0,0.0,26039.004,5.925055434625529
2020-01-05 00:00:00,25673,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,0,1,0.0,0.0,0.0,24447.393,4.773915872219842
2020-01-05 01:00:00,25697,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,1,1,0.0,0.0,0.0,24770.277,3.6063457066972795
2020-01-05 02:00:00,24949,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,2,1,0.0,0.0,0.0,25547.826,2.400201097739388
2020-01-05 03:00:00,24073,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,3,1,0.0,0.0,0.0,25613.525,6.399390980039879
2020-01-05 04:00:00,23310,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,4,1,0.0,0.0,0.0,25639.139,9.992014894358645
2020-01-05 05:00:00,23615,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,5,1,0.0,0.0,0.0,25593.518,8.37822391753123
2020-01-05 06:00:00,23855,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,6,1,0.0,0.0,0.0,25515.861,6.962319547788723
2020-01-05 07:00:00,25200,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,7,1,1.0,0.0,0.0,25389.434,0.7517206101190477
2020-01-05 08:00:00,26497,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,8,1,1.0,0.0,0.0,28836.246,8.828343185077555
2020-01-05 09:00:00,28917,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,9,1,1.0,1.0,0.0,29303.762,1.337489085140229
2020-01-05 10:00:00,31018,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,10,1,1.0,1.0,0.0,30767.787,0.8066699678412534
2020-01-05 11:00:00,32325,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,11,1,0.0,1.0,0.0,32260.38,0.19990453402938904
2020-01-05 12:00:00,33483,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,12,1,0.0,1.0,0.0,30493.969,8.927011468506405
2020-01-05 13:00:00,34343,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,13,1,0.0,1.0,0.0,30684.428,10.653036326543983
2020-01-05 14:00:00,34233,4.2,3.2,93.0,0.0,99.0,7.0,15.0,0.0,0.99,6,14,1,0.0,1.0,0.0,31097.361,9.15969582530015
