Date,Demand,Temp,DewPoint,Humidity,Precipitation,WindDirection,WindSpeed,WindGust,Pressure,Mobility,Day_of_week,Hour_of_day,is_weekend,is_rush_hour,is_working_hour,clap_for_carers,Demand_pred,Error
2020-01-02 00:00:00,23422,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,0,0,0.0,0.0,0.0,27875.182,19.012815475300997
2020-01-02 01:00:00,24161,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,1,0,0.0,0.0,0.0,26238.447,8.598349677683043
2020-01-02 02:00:00,23527,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,2,0,0.0,0.0,0.0,25782.363,9.586276538657712
2020-01-02 03:00:00,23878,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,3,0,0.0,0.0,0.0,25955.15,8.699013278436217
2020-01-02 04:00:00,24136,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,4,0,0.0,0.0,0.0,26818.172,11.112743930228703
2020-01-02 05:00:00,24705,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,5,0,0.0,0.0,0.0,27927.809,13.045167349726777
2020-01-02 06:00:00,25539,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,6,0,0.0,0.0,0.0,28932.15,13.286152122733858
2020-01-02 07:00:00,29687,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,7,0,1.0,0.0,0.0,29768.213,0.27356381791693335
2020-01-02 08:00:00,33079,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,8,0,1.0,0.0,0.0,33109.73,0.09290023504338099
2020-01-02 09:00:00,35019,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,9,0,1.0,1.0,0.0,34333.82,1.9565940989177304
2020-01-02 10:00:00,35553,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,10,0,1.0,1.0,0.0,36355.855,2.258193313503783
2020-01-02 11:00:00,35945,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,11,0,0.0,1.0,0.0,38198.46,6.269191646960634
2020-01-02 12:00:00,36656,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,12,0,0.0,1.0,0.0,37554.457,2.451050390795504
2020-01-02 13:00:00,37063,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,13,0,0.0,1.0,0.0,37846.652,2.114379148342012
2020-01-02 14:00:00,36651,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,14,0,0.0,1.0,0.0,38465.668,4.951209977217538
2020-01-02 15:00:00,37466,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,15,0,0.0,1.0,0.0,39075.22,4.295144264132814
2020-01-02 16:00:00,38641,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,16,0,1.0,1.0,0.0,39669.418,2.661468307626614
2020-01-02 17:00:00,40865,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,17,0,1.0,1.0,0.0,42089.617,2.996738498715282
2020-01-02 18:00:00,40969,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,18,0,1.0,0.0,0.0,42937.105,4.8038894499499625
2020-01-02 19:00:00,39252,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,19,0,1.0,0.0,0.0,42035.12,7.090393085065728
2020-01-02 20:00:00,37038,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,20,0,0.0,0.0,0.0,39869.273,7.644239531022193
2020-01-02 21:00:00,33583,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,21,0,0.0,0.0,0.0,34888.51,3.887418392490248
2020-01-02 22:00:00,29775,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,22,0,0.0,0.0,0.0,31414.96,5.507845298068849
2020-01-02 23:00:00,27439,4.8,3.8,93.0,0.0,107.0,9.0,20.0,0.0,1.02,3,23,0,0.0,0.0,0.0,29475.736,7.422778993859105
2020-01-03 00:00:00,25406,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,0,0,0.0,0.0,0.0,28079.346,10.522497453849484
2020-01-03 01:00:00,26308,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,1,0,0.0,0.0,0.0,26378.54,0.26812780332978564
2020-01-03 02:00:00,25881,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,2,0,0.0,0.0,0.0,25892.477,0.044343582164522236
2020-01-03 03:00:00,25363,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,3,0,0.0,0.0,0.0,26515.682,4.544736981528211
2020-01-03 04:00:00,24729,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,4,0,0.0,0.0,0.0,27580.527,11.531106570221198
2020-01-03 05:00:00,23872,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,5,0,0.0,0.0,0.0,28603.506,19.820316099928785
2020-01-03 06:00:00,25059,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,6,0,0.0,0.0,0.0,29410.21,17.36386502853266
2020-01-03 07:00:00,29159,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,7,0,1.0,0.0,0.0,30118.834,3.2917246283308756
2020-01-03 08:00:00,33706,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,8,0,1.0,0.0,0.0,33274.37,1.2805699467453866
2020-01-03 09:00:00,36414,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,9,0,1.0,1.0,0.0,34492.99,5.2754756927280715
2020-01-03 10:00:00,37445,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,10,0,1.0,1.0,0.0,36535.535,2.428801826011483
2020-01-03 11:00:00,36953,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,11,0,0.0,1.0,0.0,38452.918,4.058988360214326
2020-01-03 12:00:00,36990,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,12,0,0.0,1.0,0.0,37763.605,2.0913908319816166
2020-01-03 13:00:00,36356,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,13,0,0.0,1.0,0.0,38033.547,4.614222893057542
2020-01-03 14:00:00,36021,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,14,0,0.0,1.0,0.0,38579.176,7.10190106118653
2020-01-03 15:00:00,36883,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,15,0,0.0,1.0,0.0,39156.23,6.16335566182252
2020-01-03 16:00:00,38653,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,16,0,1.0,1.0,0.0,39721.715,2.764894946705301
2020-01-03 17:00:00,42453,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,17,0,1.0,1.0,0.0,42109.523,0.8090748887004453
2020-01-03 18:00:00,42298,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,18,0,1.0,0.0,0.0,43059.16,1.7995180770958439
2020-01-03 19:00:00,40968,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,19,0,1.0,0.0,0.0,42253.88,3.1387397633518845
2020-01-03 20:00:00,38250,4.5,3.6,94.0,0.0,108.0,9.0,19.0,0.0,1.0,4,20,0,0.0,0.0,0.0,40367.12,5.534957107843137
