,Date
0,01/01/2020
1,01/01/2020
2,01/01/2020
3,01/01/2020
4,01/01/2020
5,01/01/2020
6,01/01/2020
7,01/01/2020
8,01/01/2020
9,01/01/2020
10,01/01/2020
11,01/01/2020
12,01/01/2020
13,01/01/2020
14,01/01/2020
15,01/01/2020
16,01/01/2020
17,01/01/2020
18,01/01/2020
19,01/01/2020
20,01/01/2020
21,01/01/2020
22,01/01/2020
23,01/01/2020
24,02/01/2020
25,02/01/2020
26,02/01/2020
27,02/01/2020
28,02/01/2020
29,02/01/2020
30,02/01/2020
31,02/01/2020
32,02/01/2020
33,02/01/2020
34,02/01/2020
35,02/01/2020
36,02/01/2020
37,02/01/2020
38,02/01/2020
39,02/01/2020
40,02/01/2020
41,02/01/2020
42,02/01/2020
43,02/01/2020
44,02/01/2020
45,02/01/2020
46,02/01/2020
47,02/01/2020
48,03/01/2020
49,03/01/2020
50,03/01/2020
51,03/01/2020
52,03/01/2020
53,03/01/2020
54,03/01/2020
55,03/01/2020
56,03/01/2020
57,03/01/2020
58,03/01/2020
59,03/01/2020
60,03/01/2020
61,03/01/2020
62,03/01/2020
63,03/01/2020
64,03/01/2020
65,03/01/2020
66,03/01/2020
67,03/01/2020
68,03/01/2020
69,03/01/2020
70,03/01/2020
71,03/01/2020
72,04/01/2020
73,04/01/2020
74,04/01/2020
75,04/01/2020
76,04/01/2020
77,04/01/2020
78,04/01/2020
79,04/01/2020
80,04/01/2020
81,04/01/2020
82,04/01/2020
83,04/01/2020
84,04/01/2020
85,04/01/2020
86,04/01/2020
87,04/01/2020
88,04/01/2020
89,04/01/2020
90,04/01/2020
91,04/01/2020
92,04/01/2020
93,04/01/2020
94,04/01/2020
95,04/01/2020
96,05/01/2020
97,05/01/2020
98,05/01/2020
99,05/01/2020
100,05/01/2020
101,05/01/2020
102,05/01/2020
103,05/01/2020
104,05/01/2020
105,05/01/2020
106,05/01/2020
107,05/01/2020
108,05/01/2020
109,05/01/2020
110,05/01/2020
111,05/01/2020
112,05/01/2020
113,05/01/2020
114,05/01/2020
115,05/01/2020
116,05/01/2020
117,05/01/2020
118,05/01/2020
119,05/01/2020
120,06/01/2020
121,06/01/2020
122,06/01/2020
123,06/01/2020
124,06/01/2020
125,06/01/2020
126,06/01/2020
127,06/01/2020
128,06/01/2020
129,06/01/2020
130,06/01/2020
131,06/01/2020
132,06/01/2020
133,06/01/2020
134,06/01/2020
135,06/01/2020
136,06/01/2020
137,06/01/2020
138,06/01/2020
139,06/01/2020
140,06/01/2020
141,06/01/2020
142,06/01/2020
143,06/01/2020
144,07/01/2020
145,07/01/2020
146,07/01/2020
147,07/01/2020
148,07/01/2020
149,07/01/2020
150,07/01/2020
151,07/01/2020
152,07/01/2020
153,07/01/2020
154,07/01/2020
155,07/01/2020
156,07/01/2020
157,07/01/2020
158,07/01/2020
159,07/01/2020
160,07/01/2020
161,07/01/2020
162,07/01/2020
163,07/01/2020
164,07/01/2020
165,07/01/2020
166,07/01/2020
167,07/01/2020
168,08/01/2020
169,08/01/2020
170,08/01/2020
171,08/01/2020
172,08/01/2020
173,08/01/2020
174,08/01/2020
175,08/01/2020
176,08/01/2020
177,08/01/2020
178,08/01/2020
179,08/01/2020
180,08/01/2020
181,08/01/2020
182,08/01/2020
183,08/01/2020
184,08/01/2020
185,08/01/2020
186,08/01/2020
187,08/01/2020
188,08/01/2020
189,08/01/2020
190,08/01/2020
191,08/01/2020
192,09/01/2020
193,09/01/2020
194,09/01/2020
195,09/01/2020
196,09/01/2020
197,09/01/2020
198,09/01/2020
199,09/01/2020
200,09/01/2020
201,09/01/2020
202,09/01/2020
203,09/01/2020
204,09/01/2020
205,09/01/2020
206,09/01/2020
207,09/01/2020
208,09/01/2020
209,09/01/2020
210,09/01/2020
211,09/01/2020
212,09/01/2020
213,09/01/2020
214,09/01/2020
215,09/01/2020
216,10/01/2020
217,10/01/2020
218,10/01/2020
219,10/01/2020
220,10/01/2020
221,10/01/2020
222,10/01/2020
223,10/01/2020
224,10/01/2020
225,10/01/2020
226,10/01/2020
227,10/01/2020
228,10/01/2020
229,10/01/2020
230,10/01/2020
231,10/01/2020
232,10/01/2020
233,10/01/2020
234,10/01/2020
235,10/01/2020
236,10/01/2020
237,10/01/2020
238,10/01/2020
239,10/01/2020
240,11/01/2020
241,11/01/2020
242,11/01/2020
243,11/01/2020
244,11/01/2020
245,11/01/2020
246,11/01/2020
247,11/01/2020
248,11/01/2020
249,11/01/2020
250,11/01/2020
251,11/01/2020
252,11/01/2020
253,11/01/2020
254,11/01/2020
255,11/01/2020
256,11/01/2020
257,11/01/2020
258,11/01/2020
259,11/01/2020
260,11/01/2020
261,11/01/2020
262,11/01/2020
263,11/01/2020
264,12/01/2020
265,12/01/2020
266,12/01/2020
267,12/01/2020
268,12/01/2020
269,12/01/2020
270,12/01/2020
271,12/01/2020
272,12/01/2020
273,12/01/2020
274,12/01/2020
275,12/01/2020
276,12/01/2020
277,12/01/2020
278,12/01/2020
279,12/01/2020
280,12/01/2020
281,12/01/2020
282,12/01/2020
283,12/01/2020
284,12/01/2020
285,12/01/2020
286,12/01/2020
287,12/01/2020
288,13/01/2020
289,13/01/2020
290,13/01/2020
291,13/01/2020
292,13/01/2020
293,13/01/2020
294,13/01/2020
295,13/01/2020
296,13/01/2020
297,13/01/2020
298,13/01/2020
299,13/01/2020
300,13/01/2020
301,13/01/2020
302,13/01/2020
303,13/01/2020
304,13/01/2020
305,13/01/2020
306,13/01/2020
307,13/01/2020
308,13/01/2020
309,13/01/2020
310,13/01/2020
311,13/01/2020
312,14/01/2020
313,14/01/2020
314,14/01/2020
315,14/01/2020
316,14/01/2020
317,14/01/2020
318,14/01/2020
319,14/01/2020
320,14/01/2020
321,14/01/2020
322,14/01/2020
323,14/01/2020
324,14/01/2020
325,14/01/2020
326,14/01/2020
327,14/01/2020
328,14/01/2020
329,14/01/2020
330,14/01/2020
331,14/01/2020
332,14/01/2020
333,14/01/2020
334,14/01/2020
335,14/01/2020
336,15/01/2020
337,15/01/2020
338,15/01/2020
339,15/01/2020
340,15/01/2020
341,15/01/2020
342,15/01/2020
343,15/01/2020
344,15/01/2020
345,15/01/2020
346,15/01/2020
347,15/01/2020
348,15/01/2020
349,15/01/2020
350,15/01/2020
351,15/01/2020
352,15/01/2020
353,15/01/2020
354,15/01/2020
355,15/01/2020
356,15/01/2020
357,15/01/2020
358,15/01/2020
359,15/01/2020
360,16/01/2020
361,16/01/2020
362,16/01/2020
363,16/01/2020
364,16/01/2020
365,16/01/2020
366,16/01/2020
367,16/01/2020
368,16/01/2020
369,16/01/2020
370,16/01/2020
371,16/01/2020
372,16/01/2020
373,16/01/2020
374,16/01/2020
375,16/01/2020
376,16/01/2020
377,16/01/2020
378,16/01/2020
379,16/01/2020
380,16/01/2020
381,16/01/2020
382,16/01/2020
383,16/01/2020
384,17/01/2020
385,17/01/2020
386,17/01/2020
387,17/01/2020
388,17/01/2020
389,17/01/2020
390,17/01/2020
391,17/01/2020
392,17/01/2020
393,17/01/2020
394,17/01/2020
395,17/01/2020
396,17/01/2020
397,17/01/2020
398,17/01/2020
399,17/01/2020
400,17/01/2020
401,17/01/2020
402,17/01/2020
403,17/01/2020
404,17/01/2020
405,17/01/2020
406,17/01/2020
407,17/01/2020
408,18/01/2020
409,18/01/2020
410,18/01/2020
411,18/01/2020
412,18/01/2020
413,18/01/2020
414,18/01/2020
415,18/01/2020
416,18/01/2020
417,18/01/2020
418,18/01/2020
419,18/01/2020
420,18/01/2020
421,18/01/2020
422,18/01/2020
423,18/01/2020
424,18/01/2020
425,18/01/2020
426,18/01/2020
427,18/01/2020
428,18/01/2020
429,18/01/2020
430,18/01/2020
431,18/01/2020
432,19/01/2020
433,19/01/2020
434,19/01/2020
435,19/01/2020
436,19/01/2020
437,19/01/2020
438,19/01/2020
439,19/01/2020
440,19/01/2020
441,19/01/2020
442,19/01/2020
443,19/01/2020
444,19/01/2020
445,19/01/2020
446,19/01/2020
447,19/01/2020
448,19/01/2020
449,19/01/2020
450,19/01/2020
451,19/01/2020
452,19/01/2020
453,19/01/2020
454,19/01/2020
455,19/01/2020
456,20/01/2020
457,20/01/2020
458,20/01/2020
459,20/01/2020
460,20/01/2020
461,20/01/2020
462,20/01/2020
463,20/01/2020
464,20/01/2020
465,20/01/2020
466,20/01/2020
467,20/01/2020
468,20/01/2020
469,20/01/2020
470,20/01/2020
471,20/01/2020
472,20/01/2020
473,20/01/2020
474,20/01/2020
475,20/01/2020
476,20/01/2020
477,20/01/2020
478,20/01/2020
479,20/01/2020
480,21/01/2020
481,21/01/2020
