Date,Time,Temp,DewPoint,Humidity,Precipitation,WindDirection,WindSpeed,WindGust,Pressure
01/01/2020,00:00,5.2,3.8,91,0,110,11,20,1031
01/01/2020,01:00,4.8,3.8,93,0,107,9,20,1030.5
01/01/2020,02:00,4.5,3.6,94,0,108,9,19,1030.2
01/01/2020,03:00,4.3,3.4,94,0,101,9,17,1030
01/01/2020,04:00,4.2,3.2,93,0,99,7,15,1029.6
01/01/2020,05:00,3.9,3,94,0,109,7,17,1029.7
01/01/2020,06:00,3.7,3.1,96,0,112,6,15,1029.4
01/01/2020,07:00,3.8,3.1,95,0,112,6,15,1029.4
01/01/2020,08:00,3.9,3.2,95,0,136,6,13,1029.9
01/01/2020,09:00,3.8,3.4,97,0,159,4,11,1030
01/01/2020,10:00,4.2,3.5,95,0,181,6,13,1029.9
01/01/2020,11:00,4.8,3.6,92,0,180,6,13,1029.6
01/01/2020,12:00,5.4,3.7,89,0,214,4,15,1029.6
01/01/2020,13:00,5.5,3.8,89,0,210,6,15,1028.9
01/01/2020,14:00,5.6,3.9,89,0,208,7,15,1028.6
01/01/2020,15:00,6,4.2,88,0,214,6,13,1028.3
01/01/2020,16:00,5.5,4.1,91,0,191,6,15,1028.6
01/01/2020,17:00,5.2,4.2,93,0,189,7,15,1028.7
01/01/2020,18:00,5,4,93,0,195,6,13,1028.5
01/01/2020,19:00,4.9,4,94,0,184,6,15,1028.3
01/01/2020,20:00,5.2,4.2,93,0,172,6,15,1028.1
01/01/2020,21:00,5.2,4.5,95,0,174,7,15,1027.9
01/01/2020,22:00,5.4,4.7,95,0,179,7,15,1027.5
01/01/2020,23:00,5.5,4.9,96,0,179,7,15,1027
02/01/2020,00:00,4.9,4.2,95,0,180,7,17,1026.9
02/01/2020,01:00,5.2,4.2,93,0,186,9,17,1026.3
02/01/2020,02:00,5.1,4.4,95,0,183,9,19,1025.8
02/01/2020,03:00,4.7,4,95,0,172,9,17,1025.1
02/01/2020,04:00,5,4.3,95,0,178,11,19,1024.2
02/01/2020,05:00,5.3,4.6,95,0,178,11,20,1024
02/01/2020,06:00,5,4.1,94,0,183,9,20,1023.3
02/01/2020,07:00,5.4,4.7,95,0,183,11,20,1022.9
02/01/2020,08:00,6,5,93,0,182,13,20,1022.7
02/01/2020,09:00,6.2,5.5,95,0,184,13,22,1022.3
02/01/2020,10:00,7.1,6,93,0,192,15,24,1021.6
02/01/2020,11:00,7.8,6.4,91,0,198,15,26,1020.9
02/01/2020,12:00,8.8,6.8,87,0,201,19,32,1020.1
02/01/2020,13:00,9,6.8,86,0,202,20,33,1019.2
02/01/2020,14:00,8.9,6.7,86,0,203,20,33,1018.4
02/01/2020,15:00,9.2,6.8,85,0,205,22,37,1017.4
02/01/2020,16:00,8.9,6.9,87,0,207,22,35,1017
02/01/2020,17:00,8.8,6.8,87,0,209,22,35,1016.4
02/01/2020,18:00,9,6.4,84,0,213,20,30,1016.4
02/01/2020,19:00,9.1,6.5,84,0,212,20,33,1015.9
02/01/2020,20:00,9.1,6.5,84,0,211,20,35,1015.5
02/01/2020,21:00,9.1,6.7,85,0,210,22,33,1015
02/01/2020,22:00,9.2,7.1,87,0,211,22,35,1014.7
02/01/2020,23:00,9.3,7.6,89,0,210,22,33,1014.3
03/01/2020,00:00,9.2,7.5,89,0,209,20,35,1014.1
03/01/2020,01:00,9.3,7.7,90,0,213,22,35,1013.4
03/01/2020,02:00,9.4,8,91,0,219,22,35,1012.7
03/01/2020,03:00,9.3,8.1,92,0,222,22,33,1012.8
03/01/2020,04:00,9.2,8,92,0.3,235,20,35,1012.6
03/01/2020,05:00,9.1,7.7,91,0.5,240,20,35,1013
03/01/2020,06:00,8.8,7.6,92,0,249,17,32,1013
